Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
naggandi,1,"['lveþvf', 1]",nagandi,25,"['nken', 6, 'lkenof', 6, 'lheeof', 5, 'lheoof', 4, 'slg', 3, 'lveovf', 1]",True,False,
hryggnum,16,"['nkeþg', 16]",hrygnum,1,"['nvfþ', 1]",True,False,
flaggað,5,"['ssg', 5]",flagað,1,"['lhensf', 1]",True,False,
leggur,448,"['sfg3en', 437, 'sfg2en', 9, 'nken', 2]",legur,20,"['nvfn', 11, 'nvfo', 8, 'lkensf', 1]",True,False,
seggir,2,"['nkfn', 2]",segir,4415,"['sfg3en', 4212, 'sfg2en', 196, 'svg2en', 7]",True,False,
skipuleggur,5,"['sfg3en', 5]",skipulegur,1,"['lkensf', 1]",True,False,
baggar,2,"['nkfn', 2]",bagar,1,"['sfg3en', 1]",True,False,
braggi,11,"['nken', 11]",bragi,44,"['nkens', 40, 'nkfo', 3, 'svg3en', 1]",True,False,
löggur,12,"['nvfn', 10, 'nvfo', 2]",lögur,2,"['nken', 2]",True,False,
leggðu,11,"['sbg2en', 11]",legðu,26,"['svg3fþ', 23, 'nveo', 3]",True,False,
bragga,23,"['nkeþ', 10, 'nkeo', 10, 'nkfo', 2, 'nkfe', 1]",braga,21,"['nkees', 8, 'nkeþs', 6, 'nkeos', 4, 'nvens', 2, 'sfg3fn', 1]",True,False,
útveggi,4,"['nkfo', 4]",útvegi,2,"['nkeþ', 2]",True,False,
kröggum,4,"['nvfþ', 4]",krögum,1,"['nkfþ', 1]",True,False,
löggum,2,"['nvfþ', 2]",lögum,358,"['nhfþ', 355, 'sfg1fn', 2, 'nkfþ', 1]",True,False,
seggja,1,"['nkfe', 1]",segja,5991,"['sng', 5573, 'sfg3fn', 418]",True,False,
snöggum,15,"['lkeþsf', 12, 'lvfþsf', 3]",snögum,6,"['nkfþ', 6]",True,False,
tugginn,2,"['lkensf', 2]",tuginn,3,"['nkeog', 3]",True,False,
